case,year,total_n_pori,pori_1c2s_confi,pori_1c2s_net,pori_1c2s_noconfi,dale_cn_to_k,dale_k_to_cn,tot_trade,fdi_fromcn,fdi_tocn,cumfdi_fromcn,cumfdi_tocn,M_goods,X_goods,M_service,X_service,M_ktoCN,X_ktoCN,X_CNtok,M_K,X_K,M_CN,X_CN,cncompanies,bridge_pulse,bridge_continuous,bridge_constr,railway_pulse,railway_continuous,railway_constr,henqin_pulse,henqin_continuous,stock,rgdpe,gini
hk,2019,2047,0.3755,-0.209,0.584,,,,,,,,,,,,,,,,,,,216,0,0,0,0,1,0,0,0,,176119.7031,0.539
hk,2018,3039,0.441333333,-0.059333333,0.500666667,4.592075113,22.38162606,1139859.435,,,,,2186267,2287303,,,2186267,2287303,280650.4493,4721399,4518106,2135734,2486682,197,1,1,1,1,1,1,0,0,66.38819517,187624.4375,0.539
hk,2017,3087,0.502333333,0.061666667,0.440666667,4.618347647,21.79232319,1056855.199,179.2,243.3,3872.4,5420.1,2030145,2105829,228063,310236,2258208,2416065,260609.1142,4962510,4688835,1843793,2263371,154,0,1,0,0,1,0,0,0,235.5559684,192343.3594,0.539
hk,2016,4012,0.4545,-0.01475,0.46925,4.652736372,21.48258299,975177.2786,256.8,234.9,3241.4,4822.7,1916831,1943469,220991,296363,2137822,2239832,246063.0295,4586490,4353086,1587926.22,2097631.19,137,0,1,0,0,1,0,0,0,730.6578516,208939.9531,0.539
hk,2015,4045,0.46875,0.0015,0.4675,4.483411232,21.49635039,982246.3415,200.8,306.6,3270.3,4701.8,1984048,1936515,221651,310792,2205699,2247307,254691.656,4620765,4414227,1679564.5,2273468.22,133,0,1,0,0,1,0,0,0,1524.139677,225080.3594,0.537
hk,2014,4063,0.442333333,-0.049666667,0.492,4.672499011,23.12041695,1013067.779,221.8,367.9,3493.5,4560,1986964,1979016,216521,321650,2203485,2300666,255065.982,4792568,4501836,1959235,2342292.7,119,0,1,0,0,1,0,0,0,35.65108969,217154.8281,0.537
hk,2013,4095,0.517,0.1065,0.41025,4.923991516,23.89064744,978229.0116,46.6,396.9,3341.6,3952.3,1942131,1949247,235908,317151,2178039,2266398,249310.7831,4643933,4372326,1949989,2209004,114,0,1,0,0,1,0,0,0,40.45205269,219419.6563,0.537
hk,2012,4091,0.5165,0.1235,0.39275,5.083234609,23.83871803,943069.1913,232.7,296.6,3568.3,3671.1,1840862,1857758,252883,269358,2093745,2127116,236310.9114,4506429,4198372,1818405,2048714.42,106,0,1,0,0,1,0,0,0,455.9104867,238129.0469,0.537
hk,2011,4080,0.5775,0.23075,0.347,5.183950393,23.65599616,911662.2593,318.1,393.1,3042.8,3346.4,1696807,1747355,250092,234143,1946899,1981498,217818.6136,4342631,4049474,1743484,1898381,97,1,1,0,0,1,0,0,0,165.2366414,243229.25,0.537
hk,2010,4033,0.61125,0.282,0.32875,5.298395467,22.44651414,821034.5315,288.2,289.5,3127.1,3014.7,1529751,1598222,252482,185579,1782233,1783801,196373.6842,3911770,3657189,1396247,1577754.32,99,0,0,0,1,1,0,0,0,78.11508107,254487.0156,0.533
hk,2009,6079,0.703,0.4645,0.238333333,5.991368756,22.96611053,662573.1707,214.8,201.8,2603.6,2682.2,1249374,1263249,223445,139440,1472819,1402689,160381.7715,3166042,2970392,1005923,1201611.81,96,0,0,0,0,0,0,0,0,274.133598,261265.2344,0.533
hk,2008,6141,0.732333333,0.531166667,0.201333333,6.30236743,24.16105568,750890.7574,183,200.3,2250.9,2552.7,1410735,1370445,291550,129129,1702285,1499574,181095.6354,3590687,3368509,1132562,1430693.07,95,0,0,0,0,0,0,0,0,1219.946459,277621.6563,0.533
hk,2007,6075,0.738833333,0.540833333,0.198,6.406488631,22.30021464,713160.9756,113,277.3,3677.3,3363.8,1329652,1308332,289686,115976,1619338,1424308,170687.0347,3590687,3368509,956115,1220456,93,0,0,0,0,0,0,0,0,2625.813802,299497.2813,0.533
hk,2006,6081,0.699166667,0.468166667,0.230833333,6.887682937,20.47488725,649657.3813,119.6,173,1967.6,2055.7,1192952,1156209,281709,94059,1474661,1250268,153138.896,3404071,3190288,791461,968978,112,0,0,0,0,0,0,0,0,457.090413,310087.6875,0.533
hk,2005,6090,0.611666667,0.344166667,0.2675,7.536221804,19.18281739,587887.4198,72.9,130.3,1271.9,1477.4,1049335,1012566,71189,127947,1120524,1140513,134702.8241,2593706,2745973,659953,761953,107,0,0,0,0,0,0,0,0,334.508988,329463,0.525
hk,2004,6153,0.555,0.247833333,0.307166667,8.221052087,18.20971238,530197.3042,62,144.8,1020.1,1211.6,918275,888543,65960,116787,984235,1005330,117878.6906,2353630,2448677,561229,593326,106,0,0,0,0,0,0,0,0,18.49529094,330112.8125,0.525
hk,2003,6167,0.514666667,0.168,0.346666667,9.184522332,17.00764639,455482.1566,38,59.9,770.1,931.25,785625,742544,58080,102281,843705,844825,100850.4493,2009170,2104856,412760,438228,84,0,0,0,0,0,0,0,0,100.344272,321713.0313,0.525
hk,2002,6254,0.556833333,0.243666667,0.313166667,10.84259877,15.07130064,408207.4454,31.7,124.3,594.6,843,717074,613244,60876,945547,777950,1558791,92050.57766,1963502,1821873,295170,325596,96,0,0,0,0,0,0,0,0,392.2291346,336537.0313,0.525
hk,2001,6295,0.579333333,0.290833333,0.2885,12.54948298,14.0660091,391422.4647,74.7,66.3,958.1,844,681980,546121,59637,76479,741617,622600,87545.57125,1762374,1801786,243553,266098,70,0,0,0,0,0,0,0,0,94.00030686,350074,0.525
hk,2000,5297,0.601,0.351333333,0.249666667,13.66588661,12.81067977,414717.8434,110.7,361.2,1112.2,1011.6,714987,542981,,,714987,542981,91782.67009,1657962,1572689,225094,249203,69,0,0,0,0,0,0,0,0,,353647.875,0.518
hk,1999,3739,0.571,0.282428571,0.288571429,15.7823152,13.14698599,351953.4018,38.6,78.6,814.8,620.6,607546,449602,,,607546,449602,77990.50064,1392718,1349000,165699,194931,69,0,0,0,0,0,0,0,0,,366139.1875,0.518
hk,1998,3224,0.655333333,0.441833333,0.2135,14.96872103,12.68765612,356449.4223,20.2,54.1,213.7,547.7,580614,463432,,,580614,463432,74533.24775,1429092,1347649,140237,183712,70,0,0,0,0,0,0,0,0,,375188.6875,0.518
hk,1997,11762,0.606761905,0.395333333,0.211428571,14.05478448,11.47226335,394228.4981,142.4,,,,608372,507745,,,608372,507745,78096.53402,1615090,1455949,142370,182792,113,0,0,0,0,0,0,0,0,,389479.875,0.518
hk,1996,6557,0.440083333,0.12,0.320083333,16.24329803,11.4896403,376572.4005,114.2,,,,570442,479372,53369,46457,623811,525829,73227.47112,1725335,1683302,138833,151048,85,0,0,0,0,0,0,0,0,,398683.2813,0.518
hk,1995,4601,0.419875,0.063125,0.35675,15.31124166,10.95380251,363959.9487,107.5,,,,539480,447598,,,539480,447598,69252.88832,1250709,1170013,132084,148780,59,0,0,0,0,0,0,0,0,,413570.1563,0.476
hk,1994,3146,0.377166667,-0.061166667,0.438333333,16.5189755,9.089875332,310747.3684,96,,,,470876,383844,,,470876,383844,60446.21309,1250709,1170013,115615,121006,62,0,0,0,0,0,0,0,0,,,0.476
hk,1993,2159,0.38625,-0.056,0.44225,19.62704639,10.07403874,271995.8922,,,,,293356,207722,,,293356,207722,51625.28883,1072597,1046251,103959,91744,44,0,0,0,0,0,0,0,0,,,0.476
mo,2018, 504 ,0.723,0.51,0.217,3.468971306,362.8497835,12739.12017,11.77192,5.75501,,,30572.9353,1952.4354,,,30572.9353,1952.4354,3925.031133,87399.5026,11826.7832,2135734,2486682,965,1,1,1,0,0,0,0,1,2724.264154,11657.29883,0.36
mo,2017, 500 ,0.766,0.59,0.172,3.357771286,446.4443991,10851.09016,9.26835,3.44932,,,30572.46,2057.758,,,24925.2461,2057.758,3200,73575.5767,10944.6458,1843793,2263371,815,0,1,0,0,0,0,0,1,4512.078804,12107.97656,0.36
mo,2016, 520 ,0.791,0.65,0.145,3.524112094,400.3138869,10136.77011,9.99003,4.96155,,,24925.12,1698.5767,,,25068.9613,1698.5767,3218.430884,69211.0908,9745.2214,1587926.22,2097631.19,686,0,1,0,0,0,0,0,1,2149.432039,12462.50781,0.35
mo,2015, 510 ,0.75,0.6,0.154,3.440193391,338.754508,10136.77011,9.29454,7.00243,,,25068.68,1781.696,,,30897.1093,1781.696,3966.749689,82123.3331,10371.2885,1679564.5,2273468.22,815,0,1,0,0,0,0,0,1,414.2309031,13691.66992,0.35
mo,2014, 502 ,0.696,0.47,0.231,3.290917787,325.1526261,11874.87958,7.41274,4.39313,,,28941.7445,1507.4382,,,28941.7445,1507.4382,3715.691158,87253.5952,9617.3172,1959235,2342292.7,812,0,1,0,0,0,0,0,1,579.5916289,15606.34863,0.35
mo,2013, 511 ,0.75,0.56,0.185,3.356361281,398.0983815,11221.35293,5.79284,2.82755,,,25618.67,1557.9267,,,25618.7476,1557.9267,3289.041096,78583.1435,8821.1024,1949989,2209004,739,0,1,0,0,0,0,0,1,2160.175768,19765.82422,0.35
mo,2012, 519 ,0.817,0.69,0.124,3.533367249,420.3681207,9848.996762,4.3747,2.00111,,,22503.4568,1327.9009,,,22503.4568,1327.9009,2889.041096,68799.9466,7914.8799,1818405,2048714.42,534,0,1,0,0,0,0,1,1,472.249708,21390.51563,0.35
mo,2011, 1022 ,0.849,0.73,0.117,3.530585848,443.3497497,8625.133748,4.29128,2.22421,,,18547.3118,1064.9824,,,18547.3118,1064.9824,2381.195517,60420.2233,6761.8021,1743484,1898381,588,1,1,0,0,0,0,0,1,45.75917982,25182.75391,0.38
mo,2010, 508 ,0.844,0.75,0.098,3.623757333,529.9056127,6360.940349,2.33188,1.2707,,,13306.7316,1069.2892,,,13306.7316,1069.2892,1708.343711,42794.848,6751.1515,1396247,1577754.32,418,0,0,0,0,0,0,0,1,3320.316196,30144.30078,0.38
mo,2009, 506 ,0.869,0.8,0.065,4.04878549,491.4847967,5550.999377,1.92933,0.93217,,,11223.967,1083.9653,,,11223.967,1083.9653,1441.09589,35794.9206,7442.3638,1005923,1201611.81,327,0,0,0,0,0,0,1,1,2513.743408,32718.38867,0.38
mo,2008, 509 ,0.893,0.84,0.056,5.315760595,443.0872264,7354.87198,1.8818,5.45528,,,16418.22,1909.1734,,,16418.3752,1909.1734,2107.845579,41743.1934,15544.638,1132562,1430693.07,407,0,0,0,0,0,0,0,0,1082.013228,35275.08203,0.38
mo,2007, 519 ,0.86,0.8,0.066,5.90132337,467.3302674,7913.37858,1.86822,3.25823,,,17826.99174,2943.0479,,,17827.0674,2943.0479,2288.667497,41820.4442,19817.6529,956115,1220456,495,0,0,0,0,0,0,0,0,3684.068934,45883.96875,0.38
mo,2006, 502 ,0.902,0.84,0.06,6.768156299,474.2774298,7096.95741,2.39105,0.7275,,,15975.4247,2944.3089,,,15975.4247,2944.3089,2051.058531,35431.481,19847.4319,791461,968978,4637,0,0,0,0,0,0,0,0,2075.044647,58958.43359,0.44
mo,2005, 534 ,0.828,0.78,0.047,7.214620749,485.3969621,6371.561146,2.00984,0.42874,,,13109.8022,2857.6879,,,13109.8022,2857.6879,1683.063512,30400.0813,19228.6398,659953,761953,414,0,0,0,0,0,0,0,0,1763.891502,65105.16016,0.44
mo,2004, 628 ,0.855,0.81,0.045,8.394855109,449.1385607,6284.570112,0.65087,0.08924,,,12022.41765,3046.188,,,12022.4225,3046.188,1543.462017,27066.8994,21884.2476,561229,593326,369,0,0,0,0,0,0,0,0,2608.101384,72913.14844,0.44
mo,2003, 574 ,0.797,0.73,0.067,9.0664362,461.8971814,5329.680075,0.33659,0.51604,,,9205.2321,2758.8643,,,9205.2321,2758.8643,1181.818182,21434.3131,20079.097,412760,438228,272,0,0,0,0,0,0,0,0,62.40227359,72748.83594,0.44
mo,2002, 547 ,0.801,0.72,0.084,10.21369788,490.7017828,4887.770735,0.37151,0.28712,,,8222.8646,2859.6861,,,8222.8646,2859.6861,1055.666252,19713.6883,18357.6477,295170,325596,158,0,0,0,0,0,0,0,0,1701.834382,57109.17188,0.44
mo,2001, 547 ,0.712,0.58,0.134,12.29079106,375.2250686,4687.83462,,,,,7919.759,2090.3112,,,7919.759,2090.3112,1016.811955,18595.2492,17918.7615,243553,266098,107,0,0,0,0,0,0,0,0,3604.378151,55873.90625,0.43
mo,2000, 551 ,0.759,0.67,0.094,13.00842068,356.4094227,2540.288667,,,,,7206.0039,2011.1883,,,7206.0039,2011.1883,925.1556663,17554.6332,19769.0074,225094,249203,,0,0,0,0,0,0,0,0,,60373.71484,0.43
mo,1999, 575 ,0.766,0.67,0.098,12.89327697,319.5582324,2249.08792,,,,,,,,,5634.73,1568.49,723.4122042,15811.18915,17228.38138,165699,194931,,0,0,0,0,0,0,0,0,,,
